file 000, language js, ms 6000,5700,6000,5500,5600,5300,6000,5700,5900,5700, MB 64,64,64,64,64,64,64,64,64,64
file 001, language js, ms 900,1000,1100,1000,900,1000,1000,1000,1000,900, MB 64,64,64,64,64,64,64,64,64,64   
file 002, language js, ms 1000,1600,1000,1200,1300,1100,1400,1000,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 003, language js, ms 1100,1000,1400,1300,1400,1400,1000,1800,1000,900, MB 64,64,64,64,64,64,64,64,64,64 
file 004, language js, ms 1000,1400,900,900,1400,1300,1000,1400,1300,800, MB 64,64,64,64,64,64,64,64,64,64   
file 005, language js, ms 1000,1300,1000,900,1300,1300,1100,1100,1000,900, MB 64,64,64,64,64,64,64,64,64,64
file 006, language js, ms 900,900,1000,1000,900,900,900,900,900,1000, MB 64,64,64,64,64,64,64,64,64,64     
file 007, language js, ms 1000,900,900,1000,1000,900,900,1000,1000,900, MB 64,64,64,64,64,64,64,64,64,64   
file 008, language js, ms 900,1100,900,1200,1000,900,1000,900,1200,800, MB 64,64,64,64,64,64,64,64,64,64   
file 009, language js, ms 900,900,900,900,900,900,900,900,900,900, MB 64,64,64,64,64,64,64,64,64,64    
file 010, language js, ms 1000,1000,900,900,800,900,900,900,800,900, MB 64,64,64,64,64,64,64,64,64,64  
file 011, language js, ms 900,900,1000,1000,900,900,1000,900,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 012, language js, ms 900,900,900,900,900,1000,900,1400,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 013, language js, ms 1000,900,1000,900,1000,1100,900,1000,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 014, language js, ms 900,800,900,900,800,800,800,900,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 015, language js, ms 700,800,800,800,800,800,800,900,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 016, language js, ms 1100,1000,900,1000,1000,1000,1000,1000,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 017, language js, ms 1000,800,800,800,700,800,900,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 018, language js, ms 800,800,900,800,800,700,900,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 019, language js, ms 900,1000,900,900,900,900,1000,1000,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 020, language js, ms 900,800,800,800,900,800,900,900,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 021, language js, ms 800,900,900,800,900,900,800,800,900,800, MB 64,64,64,64,64,64,64,64,64,64
file 022, language js, ms 900,900,900,800,800,800,900,900,900,800, MB 64,64,64,64,64,64,64,64,64,64
file 023, language js, ms 800,900,800,800,800,800,800,900,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 024, language js, ms 1000,1000,1000,900,1200,1000,1000,900,1000,900, MB 64,64,64,64,64,64,64,64,64,64
file 025, language js, ms 800,700,800,800,700,700,1000,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 026, language js, ms 1000,1200,800,800,800,800,1100,700,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 027, language js, ms 1200,900,1000,900,1300,1000,1100,1400,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 028, language js, ms 800,800,1100,1200,700,1100,800,900,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 029, language js, ms 800,800,900,1100,1000,900,900,900,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 030, language js, ms 800,800,900,800,800,800,900,800,800,1300, MB 64,64,64,64,64,64,64,64,64,64
file 031, language js, ms 800,700,700,800,700,800,800,800,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 032, language js, ms 1000,700,800,800,800,800,800,1000,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 033, language js, ms 700,700,800,800,700,1000,700,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 034, language js, ms 800,1000,700,800,800,800,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 035, language js, ms 800,700,700,700,1100,700,800,700,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 036, language js, ms 700,700,700,700,700,700,800,800,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 037, language js, ms 800,700,800,800,800,800,800,700,900,800, MB 64,64,64,64,64,64,64,64,64,64
file 038, language js, ms 800,700,700,700,700,700,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 039, language js, ms 800,800,800,700,800,800,900,700,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 040, language js, ms 800,700,800,800,700,800,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 041, language js, ms 1000,900,1100,800,900,800,800,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 042, language js, ms 900,800,800,900,700,800,900,900,900,700, MB 64,64,64,64,64,64,64,64,64,64
file 043, language js, ms 1000,800,800,700,800,800,900,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 044, language js, ms 800,800,900,800,900,800,800,700,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 045, language js, ms 900,900,700,700,800,700,900,800,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 046, language js, ms 800,800,800,800,800,800,800,700,800,1000, MB 64,64,64,64,64,64,64,64,64,64
file 047, language js, ms 1000,1000,800,800,800,900,800,800,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 048, language js, ms 800,1100,800,800,800,900,700,700,800,700, MB 64,64,64,64,64,64,64,64,64,64
file 049, language js, ms 900,1000,900,900,1000,1200,900,800,900,800, MB 64,64,64,64,64,64,64,64,64,64
file 050, language js, ms 800,900,900,1000,1100,1000,900,900,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 051, language js, ms 1300,800,800,1000,900,800,1200,800,800,1000, MB 64,64,64,64,64,64,64,64,64,64
file 052, language js, ms 1000,1000,1000,900,1300,1000,1100,1600,1400,1400, MB 64,64,64,64,64,64,64,64,64,64
file 053, language js, ms 1000,1000,900,1300,900,900,1300,900,2900,1100, MB 64,64,64,64,64,64,64,64,64,64
file 054, language js, ms 1000,900,1200,1300,900,1300,900,800,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 055, language js, ms 1100,900,1300,800,800,900,900,900,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 056, language js, ms 900,1300,800,800,1000,900,900,900,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 057, language js, ms 900,900,800,800,800,900,900,800,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 058, language js, ms 900,900,1000,1000,1000,1000,900,900,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 059, language js, ms 900,900,800,900,900,800,800,800,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 060, language js, ms 1000,1000,1000,1100,1000,1100,1000,1000,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 061, language js, ms 1400,1300,1300,1300,1300,1300,1300,1300,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 062, language js, ms 800,900,900,900,800,800,900,800,1000,900, MB 64,64,64,64,64,64,64,64,64,64
file 063, language js, ms 1000,1000,1200,1000,1000,1000,1100,1100,1200,1100, MB 64,64,64,64,64,64,64,64,64,64
file 064, language js, ms 900,1000,900,1100,900,900,900,900,1000,1200, MB 64,64,64,64,64,64,64,64,64,64
file 065, language js, ms 1100,900,800,1000,900,800,900,900,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 066, language js, ms 900,900,900,900,900,900,900,900,900,800, MB 64,64,64,64,64,64,64,64,64,64
file 067, language js, ms 900,1000,1000,900,1000,1000,900,1400,1000,900, MB 64,64,64,64,64,64,64,64,64,64
file 068, language js, ms 900,900,900,900,1200,1000,900,1100,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 069, language js, ms 900,1000,900,900,900,1000,900,900,1000,1200, MB 64,64,64,64,64,64,64,64,64,64
file 070, language js, ms 1000,1100,1100,1000,1000,1200,1100,1100,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 071, language js, ms 1200,1400,1200,1200,1100,1200,1400,1200,1100,1200, MB 64,64,64,64,64,64,64,64,64,64
file 072, language js, ms 1000,900,900,1000,900,900,1000,1000,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 073, language js, ms 1000,1000,1000,900,1100,1000,900,1100,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 074, language js, ms 1000,1000,1000,1000,1000,900,1000,900,1100,900, MB 64,64,64,64,64,64,64,64,64,64
file 075, language js, ms 1200,1300,1400,1200,1300,1400,1200,1400,1400,1200, MB 64,64,64,64,64,64,64,64,64,64
file 076, language js, ms 1000,1000,1100,1000,1300,1100,1000,1000,1000,1300, MB 64,64,64,64,64,64,64,64,64,64
file 077, language js, ms 1700,1800,1400,1400,1700,1900,1600,1400,1500,1700, MB 64,64,64,64,64,64,64,64,64,64
file 078, language js, ms 1400,1600,1500,1500,1800,1600,1600,1500,1800,1400, MB 64,64,64,64,64,64,64,64,64,64
file 079, language js, ms 1100,1200,1100,1100,1200,1100,1200,1100,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 080, language js, ms 1000,1200,1000,1100,1100,1100,1000,1100,1100,1300, MB 64,64,64,64,64,64,64,64,64,64
file 081, language js, ms 1100,1100,1100,1200,1100,1100,1100,1000,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 082, language js, ms 1100,1200,1100,1000,1000,1100,1100,1100,1100,1000, MB 64,64,64,64,64,64,64,64,64,64
file 083, language js, ms 1300,1300,1200,1300,1100,1100,1300,1300,1200,1200, MB 64,64,64,64,64,64,64,64,64,64
file 084, language js, ms 1300,1200,1300,1300,1300,1500,1300,1300,1300,1500, MB 64,64,64,64,64,64,64,64,64,64
file 085, language js, ms 1800,1900,1800,1600,1600,1500,1700,1600,1700,1700, MB 64,64,64,64,64,64,64,64,64,64
file 086, language js, ms 1400,1300,1600,1400,1400,1400,1400,1600,1600,1500, MB 64,64,64,64,64,64,64,64,64,64
file 087, language js, ms 1300,1200,1200,1300,1200,1500,1200,1300,1300,1300, MB 64,64,64,64,64,64,64,64,64,64
file 088, language js, ms 1800,1800,1800,1800,1700,1600,1800,1700,1700,1900, MB 64,64,64,64,64,64,64,64,64,64
file 089, language js, ms 1500,1300,1300,1300,1400,1400,1500,1300,1300,1300, MB 64,64,64,64,64,64,64,64,64,64
file 090, language js, ms 1700,1700,1700,1700,1700,1700,1700,1600,1500,1700, MB 64,64,64,64,64,64,64,64,64,64
file 091, language js, ms 2900,2800,2800,2900,2700,2700,2700,3000,2900,3000, MB 64,64,64,64,64,64,64,64,64,64
file 092, language js, ms 3100,2900,3200,2700,2900,3000,2900,3100,3200,3100, MB 64,64,64,64,64,64,64,64,64,64
file 093, language js, ms 2800,3000,2900,2900,2900,2800,2800,2900,2600,2800, MB 64,64,64,64,64,64,64,64,64,64
file 094, language js, ms 2800,2900,2900,2800,2700,2900,2900,4800,2700,3100, MB 64,64,64,64,64,64,64,64,64,64
file 096, language js, ms 4600,4700,4800,4500,4400,4800,4300,4800,4600,4100, MB 64,64,64,64,64,64,64,64,64,64
file 097, language js, ms 3700,3700,3600,3600,3800,3600,3700,3600,3800,4200, MB 64,64,64,64,64,64,64,64,64,64

file 000, language go, ms 3300,3100,3400,3400,3400,3200,3400,3200,3100,3400, MB 64,64,64,64,64,64,64,64,64,64
file 001, language go, ms 600,600,700,600,700,600,600,700,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 002, language go, ms 800,600,600,600,800,600,700,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 003, language go, ms 700,800,800,700,700,700,700,700,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 004, language go, ms 600,500,600,600,600,700,600,600,500,600, MB 64,64,64,64,64,64,64,64,64,64
file 005, language go, ms 600,700,700,700,700,700,600,600,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 006, language go, ms 600,600,600,600,600,600,600,600,700,600, MB 64,64,64,64,64,64,64,64,64,64
file 007, language go, ms 600,600,700,700,800,600,700,700,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 008, language go, ms 500,600,600,600,600,500,600,600,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 009, language go, ms 600,500,600,500,500,600,500,600,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 010, language go, ms 700,600,500,600,600,600,600,500,600,500, MB 64,64,64,64,64,64,64,64,64,64
file 011, language go, ms 600,500,600,500,500,700,600,500,700,600, MB 64,64,64,64,64,64,64,64,64,64
file 012, language go, ms 600,700,700,600,700,600,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 013, language go, ms 700,700,700,600,700,600,600,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 014, language go, ms 600,600,500,500,600,500,600,600,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 015, language go, ms 600,500,600,500,700,500,500,600,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 016, language go, ms 600,700,800,700,600,600,700,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 017, language go, ms 500,600,600,600,600,600,600,500,500,600, MB 64,64,64,64,64,64,64,64,64,64
file 018, language go, ms 500,600,600,500,500,500,600,500,500,600, MB 64,64,64,64,64,64,64,64,64,64
file 019, language go, ms 600,600,600,600,600,600,600,700,700,600, MB 64,64,64,64,64,64,64,64,64,64
file 020, language go, ms 500,500,600,500,500,600,500,600,500,500, MB 64,64,64,64,64,64,64,64,64,64
file 021, language go, ms 500,500,600,500,500,500,600,600,500,600, MB 64,64,64,64,64,64,64,64,64,64
file 022, language go, ms 600,600,600,600,600,600,600,600,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 023, language go, ms 600,600,600,600,600,600,600,500,500,600, MB 64,64,64,64,64,64,64,64,64,64
file 024, language go, ms 700,800,700,700,700,700,600,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 025, language go, ms 700,700,700,800,700,600,700,600,600,700, MB 64,64,64,64,64,64,64,64,64,64
file 026, language go, ms 700,600,600,700,700,700,700,700,600,800, MB 64,64,64,64,64,64,64,64,64,64
file 027, language go, ms 700,700,800,700,700,700,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 028, language go, ms 700,700,800,700,700,700,800,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 029, language go, ms 700,700,700,700,700,700,600,700,600,700, MB 64,64,64,64,64,64,64,64,64,64
file 030, language go, ms 700,700,700,700,700,700,700,700,600,700, MB 64,64,64,64,64,64,64,64,64,64
file 031, language go, ms 700,700,700,700,700,600,600,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 032, language go, ms 600,700,600,700,700,700,600,700,600,700, MB 64,64,64,64,64,64,64,64,64,64
file 033, language go, ms 700,600,600,600,600,700,700,600,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 034, language go, ms 600,600,500,600,600,600,600,600,600,600, MB 64,64,64,64,64,64,64,64,64,64
file 035, language go, ms 700,700,800,800,700,700,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 036, language go, ms 700,700,700,800,700,800,600,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 037, language go, ms 800,800,700,700,800,700,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 038, language go, ms 800,700,900,700,600,700,700,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 039, language go, ms 700,700,800,800,700,700,800,700,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 040, language go, ms 800,700,800,800,700,600,700,700,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 041, language go, ms 800,800,800,800,900,700,800,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 042, language go, ms 700,800,800,700,700,700,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 043, language go, ms 800,700,800,800,700,700,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 044, language go, ms 800,700,800,800,800,700,700,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 045, language go, ms 700,800,800,800,800,700,800,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 046, language go, ms 800,700,700,800,800,700,800,700,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 047, language go, ms 700,800,700,800,800,700,800,700,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 048, language go, ms 700,700,800,700,700,700,700,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 049, language go, ms 700,700,700,700,700,700,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 050, language go, ms 900,800,900,900,800,700,900,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 051, language go, ms 900,800,800,900,800,700,800,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 052, language go, ms 900,1000,900,900,900,1000,900,900,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 053, language go, ms 800,900,800,800,800,800,800,900,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 054, language go, ms 700,800,700,700,700,700,800,700,700,700, MB 64,64,64,64,64,64,64,64,64,64
file 055, language go, ms 800,800,800,800,800,800,800,800,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 056, language go, ms 700,800,700,800,800,800,800,800,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 057, language go, ms 800,900,800,900,800,800,800,800,800,900, MB 64,64,64,64,64,64,64,64,64,64
file 058, language go, ms 900,900,900,900,800,900,1000,900,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 059, language go, ms 800,800,700,800,800,700,800,700,700,800, MB 64,64,64,64,64,64,64,64,64,64
file 060, language go, ms 1000,1000,1000,1000,1000,900,900,1000,900,1000, MB 64,64,64,64,64,64,64,64,64,64
file 061, language go, ms 900,900,900,800,900,900,900,900,900,900, MB 64,64,64,64,64,64,64,64,64,64
file 062, language go, ms 800,900,800,800,800,800,900,800,800,800, MB 64,64,64,64,64,64,64,64,64,64
file 063, language go, ms 1000,1000,1000,1000,1000,1000,900,1000,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 064, language go, ms 800,900,900,900,900,900,900,900,700,900, MB 64,64,64,64,64,64,64,64,64,64
file 065, language go, ms 1100,1000,1000,1000,1000,900,1000,1100,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 066, language go, ms 1000,1000,1100,1000,1000,1000,1000,1200,1100,1100, MB 64,64,64,64,64,64,64,64,64,64
file 067, language go, ms 1000,1100,1000,1000,1000,1000,1000,1000,1000,1000, MB 64,64,64,64,64,64,64,64,64,64
file 068, language go, ms 1100,1000,1200,1100,1000,1000,900,1200,1000,1100, MB 64,64,64,64,64,64,64,64,64,64
file 069, language go, ms 1100,1100,1000,1100,1000,1000,1100,1100,1100,1200, MB 64,64,64,64,64,64,64,64,64,64
file 070, language go, ms 1500,1500,1500,1600,1500,1400,1400,1500,1500,1400, MB 64,64,64,64,64,64,64,64,64,64
file 071, language go, ms 1600,1500,1500,1500,1400,1400,1400,1500,1600,1500, MB 64,64,64,64,64,64,64,64,64,64
file 072, language go, ms 1200,1200,1200,1100,1100,1100,1100,1200,1200,1200, MB 64,64,64,64,64,64,64,64,64,64
file 073, language go, ms 1200,1200,1200,1400,1100,1200,1200,1300,1200,1200, MB 64,64,64,64,64,64,64,64,64,64
file 074, language go, ms 1300,1200,1300,1300,1200,1200,1200,1200,1300,1200, MB 64,64,64,64,64,64,64,64,64,64
file 075, language go, ms 1400,1600,1600,1500,1400,1500,1500,1500,1500,1600, MB 64,64,64,64,64,64,64,64,64,64
file 076, language go, ms 1200,1200,1300,1300,1200,1200,1200,1200,1300,1200, MB 64,64,64,64,64,64,64,64,64,64
file 077, language go, ms 1800,1800,1700,2000,1700,1600,1800,1800,1700,1900, MB 64,64,64,64,64,64,64,64,64,64
file 078, language go, ms 1700,1800,1800,1800,1700,1700,1700,1600,1700,1700, MB 64,64,64,64,64,64,64,64,64,64
file 079, language go, ms 1400,1500,1500,1500,1400,1400,1400,1400,1500,1500, MB 64,64,64,64,64,64,64,64,64,64
file 080, language go, ms 1800,1900,1800,1900,1700,1800,1800,1900,1800,1900, MB 64,64,64,64,64,64,64,64,64,64
file 081, language go, ms 1800,1800,1800,1900,1700,1700,1700,1800,1700,1800, MB 64,64,64,64,64,64,64,64,64,64
file 082, language go, ms 1700,1600,1600,2400,1600,1600,1600,1700,1600,1700, MB 64,64,64,64,64,64,64,64,64,64
file 083, language go, ms 1800,1900,1900,1900,1800,1900,1900,1900,1900,1900, MB 64,64,64,64,64,64,64,64,64,64
file 084, language go, ms 2100,2200,2100,2900,2000,1900,2000,2100,2200,2100, MB 64,64,64,64,64,64,64,64,64,64
file 085, language go, ms 1800,1900,1900,1800,1800,1800,1900,1800,1900,2000, MB 64,64,64,64,64,64,64,64,64,64
file 086, language go, ms 2100,2400,2300,2400,2300,2200,2100,2400,2300,2300, MB 64,64,64,64,64,64,64,64,64,64
file 087, language go, ms 1800,1900,1800,2000,1900,1800,1800,2000,1900,1900, MB 64,64,64,64,64,64,64,64,64,64
file 088, language go, ms 3900,4000,4000,4100,3900,3800,3800,4000,4100,4200, MB 64,64,64,64,64,64,64,64,64,64
file 089, language go, ms 3100,3300,3200,3200,3100,3100,3100,3300,3100,3300, MB 64,64,64,64,64,64,64,64,64,64
file 090, language go, ms 3300,3500,3500,3600,3300,3300,3300,3500,3500,3500, MB 64,64,64,64,64,64,64,64,64,64
file 091, language go, ms 5300,5600,5400,5500,5300,5100,5200,5400,5600,5600, MB 64,64,64,64,64,64,64,64,64,64
file 092, language go, ms 5600,5800,5500,5800,5500,5400,5500,5600,5800,5700, MB 64,64,64,64,64,64,64,64,64,64
file 093, language go, ms 5200,5500,5400,5300,5300,5100,5200,5400,5300,5400, MB 64,64,64,64,64,64,64,64,64,64
file 094, language go, ms 6700,6900,6900,6900,6700,6700,6700,7000,7000,6900, MB 64,64,64,64,64,64,64,64,64,64
file 096, language go, ms 7700,8200,7900,8100,7800,7900,7800,8100,8300,8000, MB 64,64,64,64,64,64,64,64,64,64
file 097, language go, ms 6600,6900,7100,7000,6700,6700,6800,7000,7100,7000, MB 64,64,64,64,64,64,64,64,64,64
